# repo=endojs/endo-but-for-bots commit=eb47ab6749b12dcdec261e5a2373200038b5c3e2 generator=export-index/1
# name	specifier	package	def	kind	arity	shape	tokens	private
EXACT_SCHEME	@endo/x402/src/constants.js	@endo/x402	packages/x402/src/constants.js:21	const				1
EndoCredentialUnavailableError	@endo/agentry/code-mode-provisioning	@endo/agentry	packages/agentry/src/code-mode-provision-host.js:24	class		c860fb5aa2df	50	0
EndoInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:871	const				1
EnvShape	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:39	const				1
EnvelopeInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:135	const				1
ExitStatusShape	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:135	const				1
FORMAT_VERSION	@endo/jsonl-transcript	@endo/jsonl-transcript	packages/jsonl-transcript/src/entries.js:18	const				1
FORMAT_VERSION	@endo/jsonl-transcript/entries.js	@endo/jsonl-transcript	packages/jsonl-transcript/src/entries.js:18	const				1
FaeToolInterface	@endo/fae/src/fae-tool-interface.js	@endo/fae	packages/fae/src/fae-tool-interface.js:9	const				1
Far	@endo/pass-style	@endo/pass-style	packages/pass-style/src/make-far.js:183	const-function	2	8c6566d49c35	43	0
FetchOptionsShape	@endo/exo-http-client	@endo/exo-http-client	packages/exo-http-client/src/http-client.js:68	const				0
FetchOptionsShape	@endo/exo-http-client/src/http-client.js	@endo/exo-http-client	packages/exo-http-client/src/http-client.js:68	const				0
FileInterface	@endo/platform/fs	@endo/platform	packages/platform/src/fs/interfaces.js:241	const				0
FileInterface	@endo/platform/fs/extended	@endo/platform	packages/platform/src/fs/extended/type-guards.js:306	const				0
FileInterface	@endo/platform/fs/extended/types-index.js	@endo/platform	packages/platform/src/fs/extended/type-guards.js:306	const				0
FileInterface	@endo/platform/fs/lite	@endo/platform	packages/platform/src/fs/interfaces.js:241	const				0
FileInterface	@endo/platform/fs/node	@endo/platform	packages/platform/src/fs/interfaces.js:241	const				0
FilesystemInterface	@endo/platform/fs/extended	@endo/platform	packages/platform/src/fs/extended/type-guards.js:158	const				0
FilesystemInterface	@endo/platform/fs/extended/types-index.js	@endo/platform	packages/platform/src/fs/extended/type-guards.js:158	const				0
FlootApp	@endo/space-floot	@endo/space-floot	packages/space-floot/src/FlootApp.js:111	const-function	1	fd7fdefccafe	496	1
FormulaView	@endo/spaces-util/formula-view.js	@endo/spaces-util	packages/spaces-util/src/formula-view.js:148	const-function	1	f9a3d6b0f8cc	597	1
GETATTR_BASIC	@endo/9p-server	@endo/9p-server	packages/9p-server/src/types.js:112	const				1
